         6205180 function calls (6143189 primitive calls) in 2618.830 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 __init__.py:1128(resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        1    0.000    0.000    0.000    0.000 __init__.py:118(InvalidAccessErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:121(ValidationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
        4    0.000    0.000    0.000    0.000 __init__.py:122(_declare_state)
       11    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
       37    0.000    0.000    0.004    0.000 __init__.py:1252(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(Popen)
        6    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1283(<dictcomp>)
       46    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
       72    0.001    0.000    0.008    0.000 __init__.py:1287(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:129(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
      532    0.000    0.000    0.002    0.000 __init__.py:1304(safe_name)
      552    0.001    0.000    0.013    0.000 __init__.py:1312(safe_version)
       19    0.000    0.000    0.000    0.000 __init__.py:1325(_to_unmasked_float_array)
       19    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       45    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        3    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:137(DocstoreSplitter)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(NullProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1372(_clear_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:138(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1381(get_resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
      273    0.000    0.000    0.004    0.000 __init__.py:1393(_get_metadata_path)
      250    0.000    0.000    0.005    0.000 __init__.py:1396(has_metadata)
       23    0.000    0.000    0.001    0.000 __init__.py:1403(get_metadata)
       46    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       23    0.000    0.000    0.001    0.000 __init__.py:1416(get_metadata_lines)
        2    0.000    0.000    0.000    0.000 __init__.py:1417(setLevel)
     1060    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
        4    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
      274    0.000    0.000    0.004    0.000 __init__.py:1472(_fn)
      274    0.000    0.000    0.003    0.000 __init__.py:1478(_validate_resource_path)
        1    0.000    0.000    0.007    0.007 __init__.py:15(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        2    0.000    0.000    0.000    0.000 __init__.py:152(align_method_SERIES)
       16    0.000    0.000    0.000    0.000 __init__.py:152(use_docstore)
       57    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        8    0.000    0.000    0.000    0.000 __init__.py:1564(_parents)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1578(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1582(_setup_prefix)
        2    0.000    0.000    0.000    0.000 __init__.py:1582(cpu_times)
        1    0.000    0.000    0.000    0.000 __init__.py:159(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1595(DefaultProvider)
      250    0.000    0.000    0.001    0.000 __init__.py:1598(_has)
        3    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
       23    0.000    0.000    0.000    0.000 __init__.py:1610(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1614(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:162(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:165(Migrator)
       87    0.000    0.000    0.002    0.000 __init__.py:166(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        6    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
     1907    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(ZipProvider)
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(<listcomp>)
       22    0.000    0.000    0.001    0.000 __init__.py:172(flex_method_SERIES)
     1263    0.001    0.000    0.004    0.000 __init__.py:174(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
